OBJECTID_1,Shape,OBJECTID,GDP,Name,POINT_X,POINT_Y,POINT_Z,POINT_M
1,System.__ComObject,1,2637.78,宜春市,300933.5375,3134048.2919,0,NaN
2,System.__ComObject,2,3492.04,赣州市,326198.4819,2845375.8846,0,NaN
3,System.__ComObject,3,2058.7,吉安市,283818.7725,2986417.8093,0,NaN
4,System.__ComObject,4,902.18,新余市,288432.0411,3083136.5992,0,NaN
5,System.__ComObject,5,975.91,鹰潭市,510632.2806,3123265.009,0,NaN
6,System.__ComObject,6,861.56,萍乡市,193899.9804,3048224.6702,0,NaN
7,System.__ComObject,7,2841.64,九江市,349256.9254,3246142.439,0,NaN
8,System.__ComObject,8,5398.51,南昌市,404120.9923,3170750.0437,0,NaN
9,System.__ComObject,9,888.91,景德镇市,526217.0018,3243194.5461,0,NaN
10,System.__ComObject,10,2563,上饶市,589997.2924,3182711.1481,0,NaN
11,System.__ComObject,11,1529.49,抚州市,444020.3599,3044190.991,0,NaN
